name,calories,proteins,fat,carbohydrate
Tempe bongkrek,119,4.4,3.5,18.3
Tempe Gembus,73,5.7,1.3,4.2
Tempe gembus yogya,76,6.8,0.7,10.6
Tempe Goreng ,328,18.4,23.2,12.8
Tempe kacang babi,139,12.5,0.8,21.9
Tempe kacang belimbing,212,17.5,10,12.9
Tempe kedelai + jagung,143,12,5.5,11.4
Tempe kedelai murni goreng,350,24.5,26.6,10.4
Tempe kedelai murni mentah,201,20.8,8.8,13.5
Tempe koro benguk,141,10.2,1.3,23.2
Tempe lamtoro var. gung dengan kulit,146,11.7,2.3,19.6
Tempe lamtoro var. gung tanpa kulit,131,18,0.8,13
Tempe pasar segar,150,14,7.7,9.1
Tempe pasar goreng,336,20,28,7.8
Tempe Sayur ,240,6,2.7,49.3
Tempoya,110,1.7,1.3,21.9
Tempuyak,126,1.1,2.2,25.7
Tepung Arrowroot,355,0.7,0.2,85.2
Tepung Beras,364,7,0.5,80
Tepung beras mentah,353,7,0.5,80
Tepung Ganyong,353,0.8,1.7,83.6
Tepung Gaplek,363,1.1,0.5,88.2
Tepung Garut (arrowroot),355,0.7,0.2,85.2
Tepung Hunkwee,364,4.5,1,83.5
Tepung Ikan,316,60.1,6.5,22.4
Tepung Jagung Kuning,355,9.2,3.9,73.7
Tepung jagung putih,355,9.2,3.9,73.7
Tepung Jalejo,388,19,7.5,61.2
Tepung Kacang Kedelai,347,35.9,20.6,29.9
Tepung Kentang,347,0.3,0.1,85.6
Tepung Mocaf,350,1.2,0.6,85
Tepung Pisang,338,2.9,0.4,80.6
Tepung Sagu,353,0.7,0.2,84.7
Tepung Sente,326,4,0.4,76.7
Tepung singkong/ Tapioka,363,1.1,0.5,88.2
Tepung Sukun,353,2.9,0.5,84.4
Tepung Susu,509,24.6,30,36.2
Tepung Susu Asam untuk bayi,418,19,9,65.5
Tepung Susu Skim,362,35.6,1,52
Tepung Tales Beneng,332,5.7,0.6,76.1
Tepung Terigu,365,8.9,1.3,77.3
Tepung Ubi Ungu,354,2.8,0.6,84.4
Terasi,155,22.3,2.9,9.9
Terasi dobo,191,33.1,3.6,6.6
Terasi Merah,174,30,3.5,3.5
Terasi merah,174,30,3.5,5.6
Teri balado masakan,365,23.7,22.3,17.5
Teripang dendeng mentah,462,39.1,32.4,3.5
Terong,24,1.1,0.2,5.5
Terong + Oncom makanan,285,4.3,25.7,9.5
Terong Asam,39,2.3,1.9,2
Terong Belanda,48,1.5,0.3,11.3
Terong hintalo segar,45,1.9,0.8,7.5
Terong kukus,23,1.8,0.1,4.9
Terong segar,28,1.1,0.2,5.5
Terung belanda segar,52,2.1,1.1,8.6
Terung bengkulu segar,52,1.1,0.4,11.2
Terung panjang,25,2.1,0.1,5.3
Terung panjang kukus,23,1.8,0.1,4.9
Tespong daun,59,2.9,0.3,13.9
Tim (nasi tim),120,2.4,0.4,26
Tinira ninahu nggaluku,33,1.2,1.3,4.1
Tinoransak masakan,516,17.7,49.5,0
Tipa-tipa,355,6.2,1.2,79.8
Tiwul  ,353,2.4,1.1,83.4
Tiwul Instan,395,3.2,8.5,76.5
Toge -Tahu makanan,392,5.4,28.5,28.4
Toge Goreng ,93.6,4.4,1.8,15.1
Toge kacang ijo,23,2.9,0.2,4.1
Toge kacang tunggak,35,5,0.2,5.8
Toge kedelai,67,9,2.6,6.4
Toge seduh,28,3,0.8,4
Tomat air (juice) segar,20,1,0.2,3.5
Tomat Masak,20,1,0.3,4.2
Tomat merah segar,24,1.3,0.5,4.7
Tomat muda segar,24,2,0.7,3.3
Tumis bandeng,189,11.3,15.7,0.6
Tumis bayam bersantan,48,1.4,4.2,2.6
Ubi Cilembu,186,1.9,0.2,44.3
Ubi Jalar Goreng ,160,3.7,1.3,55.3
Ubi jalar kuning kukus,100,0.7,0.3,23.8
Ubi jalar kuning segar,119,0.5,0.4,25.1
Ubi jalar manis segar,83,1.5,0.2,18.8
Ubi Jalar Merah,123,1.8,0.7,27.9
Ubi jalar merah segar,151,1.6,0.3,35.4
Ubi Jalar Putih,123,1.8,0.7,27.9
Ubi Jalar Rebus,114,1.4,9.6,25.6
Ubi Jalar Sayur,184,1.4,0.3,22.5
Ubi jalar tinta/ kemayung,108,0.5,0.4,25.6
Ubi jalar tinta/ kemayung kukus,165,0.9,0.2,39.8
Uceng/ bunga melinjo segar,82,5.8,1.3,11.7
Udang besar segar,56,11.4,0.6,1.2
Udang galah segar,81,16.5,0.3,3
Udang kering,295,62.4,2.3,1.8
Udang kering mentah,278,62.6,4.1,2.2
Udang papay mentah,273,47.8,3.8,12.5
Udang segar,91,21,0.2,0.1
Ulat sagu panggang,380,11.9,30.3,14.9
Ulat sagu segar,241,5.8,21.6,5.8
Umbi Uwi segar,120,2.8,0.5,82.3
Umbut rotan,34,2.4,0.3,5.5
Usus Sapi,130,14,7.2,1.5
Uwi,101,2,0.2,19.8
Vermicelli,363,8.7,0.4,78.7
Wajit camilan,303,6.3,2.7,63.3
Waluh balamak,45,0.8,0.9,8.1
Widaran,424,1.3,10.7,80.7
Wijen,568,19.3,51.1,18.1
Wingko babat,355,3.2,15.1,51.4
Woku ubi,143,3.1,7.8,15
Worst (sosis daging),452,14.5,42.3,2.3
Wortel Segar,42,1.2,0.6,9.3
Wortel kukus,37,1,0.6,8.3
Wortel rebus,28,0.7,0.5,6.3
Yangko,254,3,1.1,58.1
Yoghurt,52,3.3,2.5,4
