name,calories,proteins,fat,carbohydrate
Gadung kukus,88,0.8,0.3,20.9
Gadung mentah,101,2.1,0.2,23.2
Gadung ubi kukus,88,0.6,0.3,20.9
Gadung ubi segar,100,0.9,0.3,23.5
Gambas (Oyong),18,0.8,0.2,4.1
Gambas lodeh,13,0.3,0.6,1.6
Gandaria,68,0.7,0.1,18
Ganyong kukus,100,0.8,0.2,23.8
Ganyong mentah,95,1,0.1,22.6
Ganyong rebus,100,0.8,0.2,23.8
Ganyong segar,77,0.6,0.2,18.4
Gaplek,338,1.5,0.7,81.3
Gatep segar,191,4.5,1.5,39.7
Gatot,347,1.3,0.7,83.8
Geblek,195,0.4,1.7,44.4
Gelatine,389,0,0,91
Gembili,95,1.5,0.1,22.4
Gembili ubi segar,131,1.1,0.2,31.3
Gemblong,274,1.7,5.4,55.5
Gendar goreng,407,6.4,28.2,32
Genjer segar,35,1.7,0.2,7.7
Geplak,350,1.4,14.4,53.6
Geplak jahe,462,3.1,24.4,57.7
Gete kuah asam masakan,75,8.2,2,6
Getuk goreng,360,1.3,6.4,74.3
Getuk Lindri ,171.4,4,4,32
Getuk pisang,144,1.1,0.4,34.1
Getuk singkong,204,0.5,1.4,47.4
Ginjal Babi,114,16.3,4.6,0.8
Ginjal Domba,105,16.6,3.3,1
Ginjal Sapi,141,15,8.1,0.9
Gudeg ,53,1.6,1.6,8.8
Gudeg sayur,160,3.3,9.2,16
Gula Aren,368,0,0,95
Gula Kelapa,386,3,10,76
Gula Merah Tebu belum dimurnikan,356,0.4,0.5,90.6
Gula putih,394,0,0,94
Gulai asam keueung masakan,52,10,0.5,1.8
Gulai ikan masakan,106,16.5,3.3,2.5
Gulai ikan paya masakan,148,10,9.8,5
Gulai kambing,126,4.2,9.4,6.2
Gulai keumamah masakan,110,5.9,8.2,3.2
Gulai pakis,143,4,11.4,6
Gulai pliek,176,7.3,14.9,3.2
Gulai tiram masakan,132,9,7.2,7.8
Gurame asem manis masakan,192,12.7,10.1,12.7
Gurandil,218,0.5,2.5,48.5
Ham,389,16.9,35,0.3
Hangop,65,10,1,3.5
Hati Babi,134,19.7,4.8,1.7
Hati Sapi,136,19.7,3.2,6
Havermout,390,14.2,7.4,68.2
Hofa/Ubi hutan segar,127,1.2,0.5,29.5
Ikan asar merah masakan,146,17.7,5.9,5.6
Ikan Asin bilis goreng,380,33.6,27.5,0
Ikan Asin gabus goreng,456,46.5,24.4,0
Ikan Asin japuh goreng,348,18.7,29.5,0
Ikan Asin kering,193,42,1.5,0
Ikan Asin pari goreng,430,58.2,23.6,0
Ikan Asin pepetek goreng,652,40.4,54.3,0
Ikan Asin sirinding goreng,319,6.9,31.7,0
Ikan Asin teri goreng,430,33.4,32.4,0
Ikan Bader (Tawes),198,19,13,0
Ikan balong segar,107,16.5,3.9,1.5
Ikan bambangan segar,112,20,1.3,3.7
Ikan Bandeng,129,20,4.8,0
Ikan bandeng presto masakan,296,17.1,20.3,11.3
Ikan banjar segar,111,19.4,0.9,4.8
Ikan baronang segar,78,14.5,0.6,3.7
Ikan baung bakar,144,17.8,5.8,5.2
Ikan baung segar,123,15.1,5.5,3.3
Ikan Bawal,96,19,1.7,0
Ikan Bekasang,138,14,0.7,7.4
Ikan Belida bakar,128,18,3,7.2
Ikan Belida segar,80,14.7,1.4,2.2
Ikan Belut Segar goreng,417,25.9,19.4,32
Ikan Belut Segar mentah,82,6.7,1,10.9
Ikan Beunteur,66,14,0,0
Ikan biawan segar,90,14.9,2.5,2.1
Ikan bili segar,88,14.2,0.7,6.2
Ikan bubara segar,100,14.7,2.4,4.9
Ikan bulan-bulan segar,134,25.5,1.3,5
Ikan cakalang asap mentah,204,34.2,5.6,1.9
Ikan cakalang asin mentah,198,36.5,2.2,5.5
Ikan cakalang hati segar,120,11.3,3.9,10
Ikan cakalang jantung segar,116,11.2,1.2,10.2
Ikan cakalang perut segar,86,10.2,1.1,8.7
Ikan cakalang segar,107,19.6,0.7,5.5
Ikan calo/ peda mentah,81,11.4,1.9,3.8
Ikan daun segar,101,11.5,4.1,4.6
Ikan Ekor Kuning,109,17,4,0
Ikan Gabus asap mentah,261,38.1,2.3,21.9
Ikan Gabus kering,292,58,4,0
Ikan Gabus segar,74,25.2,1.7,0
Ikan gete goreng,267,23.1,19.4,0.2
Ikan hitam segar,101,10.3,3.7,6.7
Ikan hiu kering,298,46.3,3.6,20.2
Ikan hiu segar,57,10.7,0.3,2.2
Ikan kacangan segar,77,15.6,0.9,1.6
Ikan kakap segar,92,20,0.7,0
Ikan kakatua segar,82,11.4,1.2,6.4
Ikan kapar segar,132,17,6.7,0.8
Ikan katombo asin,162,31.7,2.8,0.3
Ikan kawalinya segar,110,12.6,4.2,5.4
Ikan kayu kering,302,70.7,1.9,0.4
Ikan Kembung,103,22,1,0
Ikan kima segar,70,10.8,0.7,5.2
Ikan Lais bakar,147,17.5,6.5,5.4
Ikan Layang,109,22,1.7,0
Ikan layur segar,82,18,1,0.4
Ikan lehoma segar,90,20.4,0.9,0
Ikan Lele goreng,252,19.9,19.1,0
Ikan Lemuru,112,20,3,0
Ikan lidah segar,104,15.6,3.2,2
Ikan lomak asin mentah,258,40.3,2.3,18.9
Ikan malalugis segar,99,20.6,1.4,0.9
Ikan Mas,86,16,2,0
Ikan Mas goreng,188,19.3,12.2,0
Ikan Mas pepes,209,15.2,11.3,11.8
Ikan mayong segar,97,17.9,2,0.4
Ikan Mujair dendeng goreng,598,74.3,26.9,9.2
Ikan Mujair dendeng mentah,582,68.3,15.2,37.2
Ikan Mujair goreng,416,46.9,23.9,0
Ikan Mujair pepes,121,21.7,2.8,0.8
Ikan Mujair segar,89,18.7,1,0
Ikan nasu metti segar,154,16.8,5,10.5
Ikan oci kembung segar,125,21.3,3.4,2.2
Ikan Papuyu bakar,152,17.6,6.1,6.7
Ikan papuyu/ betok segar,120,14.3,4.9,4.6
Ikan Patin bakar,144,17.5,6.3,4.3
Ikan Patin segar,132,17,6.6,1.1
Ikan peda banjar mentah,156,28,4,2
Ikan Pepetek,176,32,4.4,0
Ikan Pindang banjar mentah,157,28,4.2,1.8
Ikan Pindang benggol mentah,170,31,4.2,0
Ikan Pindang layang mentah,153,30,2.8,0
Ikan Pindang selar mentah,142,27,3,0
Ikan sale lais mentah,415,61.3,17.6,2.9
Ikan Sale segar,534,40.2,39.3,4.9
Ikan saluang kering mentah,284,34.1,9.9,14.6
Ikan saluang segar,113,13.9,4.9,3.4
Ikan sanggang masakan,240,21.7,7.7,20.7
Ikan sarden segar,109,19.9,1.8,3.4
Ikan Segar,113,17,4.5,0
Ikan Selar kering,194,38,3.5,0
Ikan selar kuning cue mentah,138,27,3.3,0
Ikan selar segar,100,18.8,2.2,0
Ikan Sepat kering,289,38,14,0
Ikan sepat segar,84,15.2,0.6,4.7
Ikan sidat segar,81,11.4,1.9,3.8
Ikan sunu asin mentah,199,34.1,3.8,7.1
Ikan sunu segar,111,13.3,3.4,6.7
Ikan tahuman segar,88,15.9,0.9,4.1
Ikan tarmon segar,96,19.5,1.1,2
Ikan telan segar,95,15.8,0.7,6.5
Ikan telur asin mentah,358,20.7,26.4,9.4
Ikan Tembang,204,16,15,0
Ikan tempahas segar,101,15.1,4.1,1
Ikan tepung mentah,316,60.1,6.5,22.4
Ikan terbang segar,98,19.6,1.7,1
Ikan Teri bubuk,277,60,2.3,1.8
Ikan Teri kering,170,33.4,3,0
Ikan Teri Kering tawar,331,68.7,4.2,0
Ikan Teri Nasi kering,144,32.5,0.6,0
Ikan teri segar,74,10.3,1.4,4.1
Ikan Teri tepung,347,48.8,6.4,19.6
Ikan titang segar,82,17.4,0.4,2.3
Ikan tongkol segar,100,13.7,1.5,8
Ikan turi segar,96,19.2,2,0.2
Intip goreng,474,7.6,21.6,62.3
Itik alabio daging dendeng mentah,496,30.3,33.5,18.4
Jagung grontol,156,2.7,1.3,33.3
Jagung Kuning giling,361,8.7,4.5,72.4
Jagung Kuning muda,129,4.1,1.3,30.3
Jagung Kuning pipil baru,307,7.9,3.4,63.6
Jagung kuning pipil kering mentah,366,9.8,7.3,69.1
Jagung Kuning pipil lama,355,9.2,3.9,73.7
